Topic,num_languages,num_views,links_from,links_to,ext_links,num_edits,num_editors,characters,words,sections,redirects_count
Mean signed deviation,0,49786,20,12,11,39,27,1666,288,4,3
Juan Almeida Bosque,31,205958,126,112,27,248,143,4890,838,6,1
News,98,5064667,471,3240,62,4271,2403,74194,11324,43,18
Dancing with Tears in My Eyes,11,216102,110,93,27,236,104,3127,537,11,1
Denges,20,13053,130,84,42,46,30,9694,1648,12,3
Thomson Marconi Sonar,0,28968,117,102,1,48,29,753,119,3,1
"Frederick I, Burgrave of Nuremberg",13,40675,26,17,7,60,37,1352,231,5,2
Leicester Riders (women),0,2984,66,24,14,21,13,1058,169,8,0
Clothes iron,84,956944,203,254,25,459,299,5186,880,10,13
A Romance of Wastdale,3,8219,168,164,3,31,19,217,42,4,0
Hesperocorixa vulgaris,3,1587,26,2,10,6,5,107,20,2,0
Holly Mitchell,4,162010,110,161,20,143,80,2737,436,6,0
"Twin Groves, Arkansas",24,13587,64,47,13,75,48,2923,503,5,1
"Belleville, Ontario",42,875611,394,1312,47,1713,800,13307,2090,34,8
Third-country economic relationships with the European Union,1,111187,599,317,21,251,113,7643,1181,22,2
Jo Nesbø,50,2182222,136,158,76,699,372,6354,1063,18,2
Toshio Shiratori,8,73375,47,18,20,97,60,1574,261,3,1
"Motipur, Sarlahi",5,3094,42,2,4,16,14,217,37,3,1
"Camden, New South Wales",10,216461,151,442,73,592,274,7177,1149,16,4
